date,type,registration,operator,fatalities,location,country,cat,year
??-???-1998,Ilyushin Il-86,RA-86080,Aeroflot,0.0,Moskva-Sheremety...,Russia,A1,1998
??-???-1998,IAI Arava 201,Unknown,Mexican AF,0.0,Unknown,Mexico,A1,1998
??-???-1998,Antonov An-2R,YU-BLB,Aeroklub Zrenjanin,0.0,Zrenjanin,Serbia,O1,1998
??-???-1998,Antonov An-2R,YU-BLC,Aeroklub Zrenjanin,0.0,Pancevo,Serbia,A1,1998
??-???-1998,Yakovlev Yak-40K,UR-87592,United Energy Systems,0.0,Roma-Ciampino Ai...,Italy,A1,1998
??-???-1998,Basler Turbo 67 (DC-3T),555,Guatemala AF,0.0,Flores-Santa Ele...,Guatemala,U1,1998
??-???-1998,Antonov An-32B,RA-48014,"Trans Charter, op.for Filair",0.0,Kinshasa-N'Djili...,D.R. Congo,A1,1998
??-???-1998,Lockheed KC-130F Hercules,149807,USMC,0.0,unknown,Unknown country,A1,1998
01-Jan-99,Boeing 737-298C,9Q-CNK,Lignes Aeriennes Congolaises,0.0,Kilimanjaro Airp...,Tanzania,A1,1999
02-Jan-99,Lockheed L-100-30 Hercules,D2-EHD,"Transafrik, opf UN",9.0,near Huambo,Angola,C1,1999
04-Jan-99,Beech 1900C-1,C-FGOI,Regionnair,0.0,Saint-Augustin R...,Canada,A1,1999
11-Jan-99,HAL-748,H-2175,Defence Research,8.0,near Arakkonam Naval ...,India,A1,1999
11-Jan-99,CASA C-212 Aviocar 200,802,Zimbabwe AF,5.0,near Kinshasa,D.R. Congo,A1,1999
12-Jan-99,Fokker F-27 Friendship 600,G-CHNL,Channel Express,2.0,Guernsey Airport...,U.K.,A1,1999
13-Jan-99,Douglas DC-3C,C-GWUG,Kelowna Flightcraft,2.0,"Mayne Island, BC",Canada,A1,1999
13-Jan-99,Swearingen SA226-AT Merlin IV,I-NARC,Besit Servizi Aerei,0.0,Olbia-Costa Smer...,Italy,A1,1999
13-Jan-99,Boeing KC-135E,59-1452,Air National Guard,4.0,Geilenkirchen Ai...,Germany,A1,1999
14-Jan-99,Swearingen SA226-AT Merlin IVC,I-NARB,Besit Servizi Aerei,0.0,Olbia-Costa Smer...,Italy,A1,1999
14-Jan-99,Beech 300 Super King Air,N780BF,USA Healthcare-Leasing,2.0,"Cullman, AL",USA,A1,1999
16-Jan-99,BN-2A-26 Islander,VH-XFF,Uzu Air,3.0,near Coconut Island A...,Australia,A1,1999
18-Jan-99,Cessna 208A Caravan I,9N-ADA,Necon Air,5.0,Jumla Airport (JUM),Nepal,A1,1999
20-Jan-99,Antonov An-12B,S9-CAN,Unknown,0.0,Lukapa Airport (...,Angola,A1,1999
21-Jan-99,Antonov An-26,152,Nicaraguan AF,28.0,near Bluefields Airpo...,Nicaragua,A1,1999
22-Jan-99,Cessna 650 Citation VII,N782QS,Executive Jet Aviation,0.0,Columbus-Port Co...,USA,A2,1999
22-Jan-99,Beech 1900D,N215CJ,Colgan Air,0.0,Hyannis-Barnstab...,USA,A2,1999
25-Jan-99,BN-2AÂ Islander,HP-987XI,ANSA,0.0,San Blas Airport...,Panama,A1,1999
28-Jan-99,DC-9-82 (MD-82),I-DAVN,Alitalia,0.0,Catania-Fontanar...,Italy,A1,1999
28-Jan-99,Learjet 35,N130F,US Check,0.0,Chicago-Midway A...,USA,A2,1999
31-Jan-99,Boeing 727-2D6,7T-VEH,Air AlgÃ©rie,0.0,Constantine-Ain ...,Algeria,A1,1999
02-Feb-99,BN-2A-9 Islander,PT-KNM,Nortema TÃ¡xi AÃ©reo,0.0,Porto Velho-Aero...,Brazil,A1,1999
03-Feb-99,BN-2A-26 Islander,P2-ALH,Airlink,11.0,near Kimbe,P.N. Guinea,A1,1999
04-Feb-99,Antonov An-26,EL-ANZ,"Santa Cruz Imperial, op.for Air-Angol",0.0,Luzamba Airport ...,Angola,A1,1999
07-Feb-99,Boeing 707-328C,9G-ROX,Avistar,0.0,Bratislava-Ivank...,Slovakia,A1,1999
08-Feb-99,Lockheed L-188A Electra,9Q-CDI,Air Karibu,7.0,Kinshasa,D.R. Congo,A1,1999
08-Feb-99,DC-9-32,MM62013,Italian AF,0.0,Moskva-Vnukovo A...,Russia,O1,1999
08-Feb-99,DHC-8-311Q Dash 8,B-15237,Uni Air,0.0,Kinmen-Shang-Yi ...,Taiwan,H2,1999
08-Feb-99,Beech 1900D,N148SK,Skyway Airlines,0.0,"near Milwaukee, WI",USA,A2,1999
11-Feb-99,Beech 1900C-1,N31240,ACE Air Cargo,0.0,"near Saint Mary's, AK",USA,A1,1999
12-Feb-99,Beech C99,N205RA,Ameriflight,1.0,"near Bishop Airport, ...",USA,A1,1999
12-Feb-99,Airbus A320-211,F-GJVG,Air France,0.0,Grenouillet,France,A2,1999
14-Feb-99,Hawker Siddeley HS-780 Andover CC.2,9L-LBG,748 Air Services,0.0,Foxtrot Airstrip,South Sudan,A1,1999
16-Feb-99,Grumman G-1159 Gulfstream II SP,N711TE,Trans-Exec Air Service,0.0,Los Angeles-Van ...,USA,A2,1999
18-Feb-99,Mitsubishi Mu-300 Diamond IA,N110DS,Delta Star,0.0,Columbus Airport...,USA,A2,1999
19-Feb-99,Beech 1900D,D-CBSF,Avanti Air,0.0,Frankfurt Intern...,Germany,A2,1999
22-Feb-99,Boeing 757-232,N682DA,Delta Air Lines,0.0,Cincinnati/North...,USA,A2,1999
24-Feb-99,Tupolev Tu-154M,B-2622,China Southwest,61.0,Rui'an,China,A1,1999
24-Feb-99,MD-88,LV-VBY,Aerolineas Argentinas,0.0,Buenos Aires-Jor...,Argentina,O1,1999
25-Feb-99,Dornier 328-110,D-CPRR,"Minerva Airlines, op.for Alitalia",4.0,Genoa-Cristoforo...,Italy,A1,1999
27-Feb-99,Beech B100 King Air,C-GBTS,Crown Charter Services,0.0,"Muskoka Airport,...",Canada,A1,1999
01-Mar-99,Lockheed L-188AF Electra,N285F,"Renown Aviation, op.for Channel Express",0.0,Shannon Airport ...,Ireland,A1,1999
02-Mar-99,Airbus A320,Unknown,Air France,0.0,Paris-Charles de...,France,H2,1999
04-Mar-99,Boeing 737-228,F-GBYA,Air France,0.0,Biarritz Parme A...,France,A1,1999
04-Mar-99,Douglas DC-9-15F,N195US,USA Jet Airlines,0.0,Kansas City Inte...,USA,A2,1999
05-Mar-99,Boeing 747-2B3F (SCD),F-GPAN,Air France,0.0,Chennai Airport ...,India,A1,1999
05-Mar-99,Swearingen SA226-TC Metro II,N151SA,Superior Aviation,0.0,Denver Internati...,USA,A2,1999
05-Mar-99,Swearingen SA226-TC Metro II,N328BA,Superior Aviation,0.0,Denver Internati...,USA,A2,1999
12-Mar-99,Boeing 737-377,VH-CZL,Ansett Australia,0.0,Melbourne-Tullam...,Australia,A2,1999
15-Mar-99,DC-9-83 (MD-83),HL7570,Korean Air,0.0,Pohang Airport (...,South Korea,A1,1999
16-Mar-99,ATR 42-320,PT-MFI,Pantanal,0.0,"Mucuri Airport, ...",Brazil,A1,1999
18-Mar-99,Douglas DC-3C,HK-337,ALIANSA Colombia,8.0,near Tame,Colombia,A1,1999
19-Mar-99,DHC-6 Twin Otter 300,C-FWLQ,Provincial Airlines,1.0,near Davis Inlet Airp...,Canada,A1,1999
20-Mar-99,Yakovlev Yak-40,RA-87587,"Cheboksary Aviation Enterprise, op.for GEASA",0.0,Bata Airport (BSG),Eq. Guinea,A2,1999
24-Mar-99,Airbus A300C4-620,A6-PFD,UAE Government,0.0,Rhodes-Diagoras ...,Greece,A1,1999
30-Mar-99,Learjet 35A,N508GP,Piedmont Hawthorne,0.0,"Rogers, AR",USA,A2,1999
30-Mar-99,Embraer EMB-110P1 Bandeirante,PT-LNW,META,0.0,"TapauÃ¡ Airport, AM",Brazil,A2,1999
30-Mar-99,Fokker F-28 Fellowship 4000,P2-AND,Air Niugini,0.0,Goroka Airport (...,P.N. Guinea,A2,1999
30-Mar-99,Cessna 550 Citation II,VP-CTJ,Flight Consultancy Services Ltd,0.0,Newquay-St Mawga...,U.K.,A2,1999
05-Apr-99,DHC-6 Twin Otter 200,N838MA,Carib-Air Cargo,0.0,Palm Beach-Palm ...,USA,A1,1999
07-Apr-99,Boeing 737-4Q8,TC-JEP,THY,6.0,near Ceyhan,Turkey,A1,1999
07-Apr-99,Learjet 24D,PT-LEM,ManacÃ¡ TÃ¡xi AÃ©reo,5.0,RibeirÃ£o Preto-...,Brazil,A1,1999
07-Apr-99,Boeing KC-135R,57-1418,USAF,0.0,Oklahoma City-Ti...,USA,O1,1999
08-Apr-99,DHC-6 Twin Otter 300,HK-2760,Aerotaca,5.0,near MÃ¡laga Airport,Colombia,A1,1999
12-Apr-99,Fokker 50,PH-MXT,Avianca,0.0,Simiti,Colombia,H2,1999
12-Apr-99,Saab 340B,N347BE,Business Express,0.0,Boston-Logan Int...,USA,A2,1999
14-Apr-99,Beech A100 King Air,PT-LZA,Jet Sul TÃ¡xi AÃ©reo,0.0,"near Irati, PR",Brazil,A1,1999
